init_type,iters,time_total,f(x_k),grad_final,alpha,backtraking,stop_reason
1223,1,0.8460152289990219,33518.18929932051,36343.484574896545,0.0078125,7,
1223,2,1.7325940849987091,21282.420009835627,1801.9961747686625,0.015625,6,
1223,3,2.6350432279941742,13414.81331104885,1080.9893016952153,0.015625,6,
1223,4,3.508581535999838,9727.20397011721,804.9208276466969,0.015625,6,
1223,5,4.388191553996876,6091.014214975972,789.5102747278399,0.015625,6,
1223,6,5.260336469000322,5315.472715386088,843.3964496635517,0.015625,6,
1223,7,6.2272496609948575,984.2891922682181,1066.0781411620508,0.0078125,7,
1223,8,7.111986457995954,679.3881854594033,301.4494983875451,0.015625,6,
1223,9,8.067655827995623,338.5266797140053,305.9780027558131,0.0078125,7,
1223,10,8.944121776999964,287.251634519116,82.68851897441495,0.015625,6,
